wissen ||| know
schrieb ||| wrote
schrieb ein ||| wrote a
schrieb ein ganzes ||| wrote a whole
ein ||| a
ein ganzes ||| a whole
ein ganzes buch ||| a whole book
ganzes ||| whole
ganzes buch ||| whole book
buch ||| book
versuchen ||| try
versuchen ||| try to
erklären ||| to explain
erklären ||| to explain this
erklären ||| explain
erklären ||| explain this
erklären ||| explain this to
der ||| the
der grund ||| the reason
grund ||| reason
ich mich ||| i
fühlte ||| felt
schlechter fühlte ||| felt worse
schlechter fühlte ||| felt worse is
schlechter ||| worse
schlechter ||| worse is
dass ||| is that
dass ||| that
all ||| all
hoch ||| these
möglichkeiten ||| options
möglichkeiten ||| options available
möglichkeiten ||| options available ,
meine ||| available , my
meine ||| , my
meine erwartungen ||| , my expectations
meine ||| my
meine erwartungen ||| my expectations
erwartungen ||| expectations
verfügbaren ||| about
verfügbaren ||| about how
verfügbaren ||| about how good
ein ||| how good a
ein ||| good a
ein ||| a
paar ||| pair
paar ||| pair of
paar jeans ||| pair of jeans
jeans ||| of jeans
jeans ||| jeans
. ||| went up .
. ||| up .
. ||| .
sehr ||| very
sehr niedrige ||| very low
sehr niedrige ||| very low --
niedrige ||| low
niedrige ||| low --
niedrige ||| low -- i
keine ||| i had no
keine ||| had no
keine konkreten ||| had no particular
keine ||| no
keine konkreten ||| no particular
konkreten ||| particular
sie ||| they
sie nur ||| they only
sie nur ||| they only came
nur ||| only
nur ||| only came
nur in ||| only came in
in ||| came in
in ||| in
sie ||| when they
sie ||| they
kamen ||| came
in ||| in
in 100 ||| in 100
100 ||| 100
sollen ||| flavors
verdammt ||| damn
verdammt ||| damn it
verdammt ||| damn it ,
perfekt ||| 've been perfect
perfekt ||| been perfect
perfekt ||| perfect
ihnen ||| .
und ||| and
und was ||| and what
und was ich ||| and what i
was ||| what
was ich ||| what i
was ich ||| what i got
ich ||| i
ich ||| i got
gut ||| good
gut , ||| good ,
gut , aber ||| good , but
, ||| ,
, aber ||| , but
, aber es ||| , but it
aber ||| but
aber es ||| but it
aber es ||| but it was
es ||| it
es ||| it was
nicht ||| was n't
nicht perfekt ||| was n't perfect
nicht ||| n't
nicht perfekt ||| n't perfect
nicht perfekt . ||| n't perfect .
perfekt ||| perfect
perfekt . ||| perfect .
. ||| .
so ||| so
vergleich ||| compared
, ||| ,
, ||| , and
, ||| , and what
war ||| i got was
war ||| got was
war enttäuschend ||| got was disappointing
war ||| was
war enttäuschend ||| was disappointing
enttäuschend ||| disappointing
. ||| i expected .
. ||| expected .
. ||| .
leben ||| to
erwartungen ||| expectations
erwartungen ||| expectations people
haben ||| people have
haben darüber ||| people have about
haben ||| have
haben darüber ||| have about
haben darüber wie ||| have about how
darüber ||| about
darüber wie ||| about how
darüber wie gut ||| about how good
wie ||| how
wie gut ||| how good
wie gut ||| how good those
gut ||| good
gut ||| good those
gut ||| good those options
sein werden ||| options will be
sein werden ||| will be
sein werden ||| be
und ||| and
und ||| and what
und ||| and what that
zu ||| 's going to
zu ||| going to
zu ||| to
ergebnissen ||| produce
dies ||| is
weniger ||| less
weniger zufriedenheit ||| less satisfaction
weniger zufriedenheit mit ||| less satisfaction with
zufriedenheit ||| satisfaction
zufriedenheit mit ||| satisfaction with
mit ||| with
ergebnisse ||| results
gut ||| they 're good
gut ||| 're good
gut ||| 're good results
gut ||| good
gut ||| good results
in ||| in
der welt des ||| the world
der welt des ||| the world of
welt ||| world
welt ||| world of
welt ||| world of marketing
dies ||| marketing knows this
dies ||| knows this
dies ||| this
wenn ||| if
wenn ||| if they
wenn ||| if they did
würden ||| would
nicht ||| n't
alle nicht ||| n't all
alle ||| all
weiß ||| know
weiß ||| know what
weiß ||| know what this
geht ||| this was about
geht ||| was about
geht ||| about
wahrheit ||| truth
wahrheit ist ||| truth is
wahrheit ist mehr ||| truth is more
ist ||| is
ist mehr ||| is more
ist mehr wie ||| is more like
mehr ||| more
mehr wie ||| more like
mehr wie ||| more like this
wie ||| like
wie ||| like this
hier . ||| this .
hier . ||| .
grund ||| reason
grund ||| reason that
besser ||| better
besser ||| better back
besser ||| better back when
ist ||| is
ist ||| is that
ist ||| is that when
es ||| it
es ||| it was
es ||| it was actually
möglich ||| was actually possible
möglich ||| actually possible
möglich ||| possible
für ||| for
menschen ||| people
erfahrungen ||| have experiences
erfahrungen ||| have experiences that
erfahrungen ||| experiences
erfahrungen ||| experiences that
waren ||| that were
waren ||| were
eine ||| a
eine angenehme überraschung ||| a pleasant
eine angenehme überraschung ||| a pleasant surprise
angenehme überraschung ||| pleasant
angenehme überraschung ||| pleasant surprise
. ||| surprise .
. ||| .
heutzutage ||| nowadays
welt ||| world
bürger ||| citizens
bürger ||| citizens ,
mit ||| , with
mit ||| , with perfection
mit ||| with
mit ||| with perfection
mit ||| with perfection the
beste ||| -- the best
beste ||| the best
beste ||| best
kann ||| can
je hoffen kann ||| can ever hope
je ||| ever
je hoffen ||| ever hope
hoffen ||| hope
für ||| for
ist ||| is
ist ||| is that
ist ||| is that stuff
industrialisierten ||| stuff is as
industrialisierten ||| is as
industrialisierten ||| as
gut ||| good
gut ||| good as
gut ||| good as you
es ||| you expect it
es ||| expect it
es ||| it
so ||| to
erwartet ||| be
sie ||| you
sie ||| you will
nie ||| will never
werden nie ||| will never be
nie ||| never
werden nie ||| never be
werden ||| be
weil ||| surprised because
weil ihre ||| surprised because your
weil ||| because
weil ihre ||| because your
ihre ||| your
meine ||| my
meine ||| my expectations
meine ||| my expectations ,
ist ||| this is
ist ||| this is what
ist ||| is
ist ||| is what
sie ||| what you
sie alle ||| what you all
sie ||| you
sie alle ||| you all
sie alle ||| you all came
alle ||| all
alle ||| all came
alle ||| all came for
niedrige ||| happiness is low
niedrige ||| is low
niedrige erwartungen ||| is low expectations
niedrige ||| low
niedrige erwartungen ||| low expectations
erwartungen ||| expectations
sagen ||| say
moment ||| moment
moment ||| moment --
das ||| -- that
das ||| -- that i
das ||| that
das ||| that i
das ||| that i actually
, und sie ||| wife , and
, und sie ||| , and
, und sie ||| , and she
und ||| and
und ||| and she
ist ||| she 's
ist wirklich ||| she 's really
ist ||| 's
ist wirklich ||| 's really
ist wirklich ||| 's really quite
wirklich ||| really
wirklich ||| really quite
wirklich ||| really quite wonderful
besser ||| have done better
besser ||| done better
besser ||| better
aber ||| but
aber niederlassen ||| but settling
aber niederlassen ist ||| but settling is
niederlassen ||| settling
niederlassen ist ||| settling is
niederlassen ist nicht ||| settling is n't
ist ||| is
ist nicht ||| is n't
ist nicht immer ||| is n't always
nicht ||| n't
nicht immer ||| n't always
nicht immer ||| n't always such
immer ||| always
immer ||| always such
eine ||| such a
eine schlechte ||| such a bad
eine ||| a
eine schlechte ||| a bad
eine schlechte sache ||| a bad thing
schlechte ||| bad
schlechte sache ||| bad thing
sache ||| thing
letztendlich ||| finally
folge ||| one consequence
folge ||| one consequence of
folge ||| consequence
folge ||| consequence of
folge ||| consequence of buying
jeans ||| pair of jeans
jeans ||| of jeans
jeans ||| jeans
schlecht ||| when
gibt ||| there
art ||| only one kind
art ||| one kind
art zu ||| one kind to
art ||| kind
art zu ||| kind to
art zu kaufen ||| kind to buy
zu ||| to
zu kaufen ||| to buy
zu kaufen ||| to buy is
kaufen ||| buy
kaufen ||| buy is
dass ||| is that
dass ||| is that when
dass ||| that
dass ||| that when
sind ||| are
sind ||| are dissatisfied
sind ||| are dissatisfied ,
und ||| dissatisfied , and
und ||| , and
und ||| , and you
und ||| and
und ||| and you
fragen ||| you ask
fragen warum ||| you ask why
fragen ||| ask
fragen warum ||| ask why
fragen warum ||| ask why ,
warum ||| why
warum ||| why ,
wer ||| , who
wer ||| who
es ||| 's
antwort ||| answer
antwort ||| answer is
antwort klar ||| answer is clear
klar ||| is clear
klar ||| is clear :
klar ||| clear
klar ||| clear :
klar ||| clear : the
welt ||| : the world
welt ||| the world
welt ||| the world is
welt ||| world
welt ||| world is
welt ||| world is responsible
was ||| what
was hätten ||| what could
was hätten ||| what could you
hätten ||| could
hätten ||| could you
tun ||| you do
tun ||| do
? ||| ?
sind ||| when there are
sind ||| there are
sind ||| are
verschiedenen ||| different
verschiedenen ||| different styles
verschiedenen ||| different styles of
jeans ||| styles of jeans
jeans ||| of jeans
jeans ||| of jeans available
jeans ||| jeans
jeans ||| jeans available
kaufen ||| buy
kaufen ||| buy one
kaufen ||| buy one that
enttäuschend ||| disappointing
enttäuschend ||| disappointing ,
enttäuschend ||| disappointing , and
fragen ||| and you ask
fragen ||| you ask
fragen warum ||| you ask why
fragen ||| ask
fragen warum ||| ask why
fragen warum ||| ask why ,
warum ||| why
warum ||| why ,
wer ||| , who
wer ||| , who 's
wer ||| who
wer ||| who 's
verantwortlich ||| 's responsible
verantwortlich ? ||| 's responsible ?
verantwortlich ||| responsible
verantwortlich ? ||| responsible ?
? ||| ?
es ||| it
ebenso ||| equally
ebenso klar ||| equally clear
klar ||| clear
dass ||| that
antwort ||| answer
antwort ||| answer to
antwort ||| answer to the
frage ||| to the question
frage ||| the question
frage ||| the question is
frage ||| question
frage ||| question is
: sie ||| is you
: sie ||| you
hätten ||| could
hätten ||| could have
hätten ||| could have done
besser ||| have done better
besser ||| done better
besser ||| better
mit 100 ||| with
mit 100 ||| with a
mit 100 ||| with a hundred
unterschiedlichen ||| a hundred different
unterschiedlichen ||| hundred different
unterschiedlichen ||| hundred different kinds
unterschiedlichen ||| different
unterschiedlichen ||| different kinds
unterschiedlichen arten von ||| different kinds of
arten von ||| kinds of
arten von jeans ||| kinds of jeans
arten von ||| of
arten von jeans ||| of jeans
arten von jeans ||| of jeans on
jeans ||| jeans
jeans ||| jeans on
gibt ||| there
gibt ||| there is
keine ||| is no
keine ||| is no excuse
keine ||| no
keine ||| no excuse
für ||| excuse for
für ||| excuse for failure
für ||| for
für ||| for failure
so ||| so
so ||| so when
menschen ||| when people
menschen ||| people
auch ||| and even
auch ||| even
beschuldigen ||| though
die ergebnisse der ||| the results
die ergebnisse der ||| the results of
ergebnisse ||| results
ergebnisse ||| results of
ergebnisse ||| results of the
sind ||| the decisions are
sind ||| decisions are
gut sind ||| decisions are good
sind ||| are
gut sind ||| are good
gut sind ||| are good ,
gut ||| good
gut ||| good ,
enttäuscht ||| feel disappointed
enttäuscht darüber ||| feel disappointed about
enttäuscht ||| disappointed
enttäuscht darüber ||| disappointed about
enttäuscht darüber ||| disappointed about them
darüber ||| about
darüber ||| about them
darüber ||| about them ;
. ||| blame themselves .
. ||| themselves .
. ||| .
welt ||| industrial world
welt ||| industrial world in
welt ||| world
welt ||| world in
welt ||| world in the
letzten ||| in the last
letzten ||| the last
letzten generation ||| the last generation
letzten ||| last
letzten generation ||| last generation
letzten generation . ||| last generation .
generation ||| generation
generation . ||| generation .
. ||| .
ich ||| i
ich ||| i believe
-- ||| --
-- nicht ||| -- not
nicht ||| not
einzige ||| only
aber ||| but
aber ||| but a
aber ||| but a significant
explosion ||| this explosion
dieser explosion ||| this explosion of
explosion ||| explosion
dieser explosion ||| explosion of
dieser explosion ||| explosion of depression
dieser ||| of
dieser ||| of depression
dieser ||| of depression ,
auch ||| also
auch ||| also suicide
auch ||| also suicide ,
ist ||| suicide , is
ist ||| , is
ist ||| is
dass ||| that
dass menschen ||| that people
menschen ||| people
erfahrungen ||| experiences
erfahrungen ||| experiences that
enttäuschend ||| disappointing
weil ||| because
so ||| standards are so
so ||| are so
so ||| are so high
so ||| so
so ||| so high
so ||| so high ,
dann ||| , and then
dann ||| and then
dann ||| and then when
dann ||| then
dann ||| then when
erklären ||| have to explain
erklären ||| to explain
erklären ||| explain
denken ||| , they think
denken ||| they think
denken ||| they think they
denken ||| think
denken ||| think they
erfahren ||| they 're
erfahren ||| 're
glaube ||| at
schuld ||| fault
so ||| so
das ||| the
dass ||| that
besser ||| do better
besser ||| do better in
besser ||| better
besser ||| better in
besser ||| better in general
schlechter ||| we feel worse
schlechter ||| feel worse
schlechter ||| worse
also ||| so
also lassen ||| so let
lassen ||| let
mich ||| me
erinnern ||| remind
. ||| .
offizielle dogma ||| official
offizielle dogma ||| official dogma
wir ||| one that we
wir ||| that we
wir alle ||| that we all
wir ||| we
wir alle ||| we all
wir alle ||| we all take
alle ||| all
alle ||| all take
alle für ||| all take to
für ||| take to
für ||| take to be
für ||| to
für ||| to be
komplett ||| , and
komplett ||| and
es ||| it
es ||| it 's
es ||| it 's all
gibt ||| there
gibt ||| there 's
gibt ||| there 's no
frage ||| 's no question
frage ||| no question
frage ||| question
folgt ||| some
aber ||| but
mehr ||| that that more
mehr ||| that more
mehr ||| that more choice
mehr ||| more
mehr ||| more choice
mehr ||| more choice is
. ||| some choice .
. ||| choice .
. ||| .
gibt ||| there
gibt ||| there 's
gibt ||| there 's some
magische menge ||| 's some magical
magische menge ||| some magical
magische menge ||| some magical amount
magische menge ||| magical
magische menge ||| magical amount
ich ||| i
ich ||| i do
nicht ||| do n't
weiß nicht ||| do n't know
nicht ||| n't
weiß nicht ||| n't know
weiß nicht was ||| n't know what
weiß ||| know
was ||| what
ich ||| i
ich bin ||| i 'm
bin ||| 'm
ziemlich ||| pretty
ziemlich sicher ||| pretty confident
sicher ||| confident
wir ||| we
lange ||| long
lange ||| long since
lange ||| long since passed
an dem ||| since passed the
an dem ||| passed the
an dem ||| the
punkt ||| point
punkt ||| point where
verbessert ||| where options
verbessert ||| where options improve
verbessert ||| options
verbessert ||| options improve
unser ||| improve our
unser gemeinwohl ||| improve our welfare
unser ||| our
unser gemeinwohl ||| our welfare
gemeinwohl ||| welfare
jetzt ||| now
industrialisierten ||| as
ich ||| i
ich bin ||| i 'm
ich bin fast ||| i 'm almost
bin ||| 'm
bin fast ||| 'm almost
bin fast ||| 'm almost done
fast ||| almost
fast ||| almost done
fast ||| almost done --
sache ||| thing
sache ||| thing to
sache ||| thing to think
über ||| to think about
über ||| think about
über ||| about
was ||| : what
was ||| what
ermöglicht ||| enables
all ||| all
all ||| all of
all ||| all of this
auswahl ||| of this choice
auswahl ||| this choice
auswahl ||| choice
in ||| in
in ||| in industrial
gesellschaften ||| industrial societies
gesellschaften ||| industrial societies is
gesellschaften ||| societies
gesellschaften ||| societies is
material ||| is material
material ||| is material affluence
material ||| material
material ||| material affluence
gibt ||| there
gibt ||| there are
gibt ||| there are lots
in ||| places in
in ||| in
welt ||| world
und ||| and
und wir ||| and we
und wir haben ||| and we have
wir ||| we
wir haben ||| we have
haben ||| have
gehört ||| heard
gehört ||| heard about
plätze ||| about several
plätze ||| about several of
plätze ||| several
plätze ||| several of
plätze ||| several of them
deren ||| , where their
deren ||| where their
deren problem ||| where their problem
deren ||| their
deren problem ||| their problem
problem ||| problem
ist ||| is
nicht ||| not
nicht ||| not that
nicht ||| not that they
vielen ||| have too much
vielen ||| too much
vielen ||| much
auswahl ||| choice
problem ||| their problem
problem ist ||| their problem is
problem ||| problem
problem ist ||| problem is
ist ||| is
dass sie zu ||| that they
sie ||| they
haben ||| have
wenig haben ||| have too
wenig haben ||| have too little
wenig ||| too
wenig ||| too little
also ||| so
ich ||| stuff i
ich ||| stuff i 'm
ich ||| i
ich ||| i 'm
ich ||| i 'm talking
über ||| 'm talking about
über ||| talking about
über ||| about
reichen ||| is
reichen ||| is the
problem ||| problem
ein ||| of
modernen ||| modern
westlichen ||| affluent , western
westlichen ||| , western
westlichen gesellschaften ||| , western societies
westlichen ||| western
westlichen gesellschaften ||| western societies
gesellschaften ||| societies
was ||| what
so ||| so
schwer ||| infuriating is this
schwer ||| is this
schwer ||| is this :
schwer ||| this
schwer ||| this :
steve ||| : steve
steve ||| : steve levitt
steve ||| steve
steve ||| steve levitt
steve ||| steve levitt talked
zu ||| levitt talked to
zu ||| talked to
zu ||| to
ihnen ||| you
ihnen ||| you yesterday
darüber ||| yesterday about
darüber ||| about
wie ||| how
wie diese ||| how these
wie diese ||| how these expensive
diese ||| these
diese ||| these expensive
diese ||| these expensive and
nicht ||| seats do n't
nicht ||| do n't
nicht helfen ||| do n't help
nicht ||| n't
nicht helfen ||| n't help
helfen ||| help
es ||| it
es ||| it 's
eine ||| 's a
eine ||| 's a waste
eine ||| a
eine ||| a waste
von ||| waste of
von geld ||| waste of money
von ||| of
von geld ||| of money
von geld ||| of money .
geld ||| money
geld ||| money .
was ||| what
was ich ||| what i
was ich ||| what i 'm
ich ||| i
ich ||| i 'm
ich ||| i 'm telling
diese ||| these
diese ||| these expensive
-- ||| choices --
-- es ||| choices -- it
-- ||| --
-- es ||| -- it
-- es ||| -- it 's
es ||| it
es ||| it 's
entscheidungen ||| simply that they
entscheidungen ||| that they
entscheidungen ||| that they do
entscheidungen ||| they
entscheidungen ||| they do
entscheidungen ||| they do n't
helfen ||| do n't help
helfen ||| n't help
helfen ||| help
sie ||| they
sogar ||| actually
sogar weh ||| actually hurt
weh ||| hurt
sie ||| they
sie ||| they actually
sie sorgen ||| they actually make
sorgen ||| actually make
sorgen ||| actually make us
sorgen ||| make
sorgen ||| make us
schlechter ||| us worse
schlechter ||| worse
stehen ||| off
wenn ||| if
auswahl ||| some
was ||| what
ermöglicht ||| enables
unserer ||| our
gesellschaften ||| societies
entscheidungen ||| make
denen ||| all
denen ||| all of
haben ||| which people have
haben ||| people have
haben ||| have
wenig ||| too
wenig ||| too few
nicht ||| not
nicht ||| not only
verschoben ||| those
verschoben ||| those people
verschoben ||| those people 's
gesellschaft ||| improved
gesellschaft ||| improved ,
sondern ||| , but
sondern ||| , but ours
sondern ||| but
sondern ||| but ours
sondern ||| but ours would
auch ||| be improved also
auch ||| improved also
auch ||| also
. ||| .
dies ||| this
dies ||| this is
dies ||| this is what
ökonomen ||| is what economists
ökonomen ||| what economists
ökonomen nennen ||| what economists call
ökonomen ||| economists
ökonomen nennen ||| economists call
nennen ||| call
eine ||| a
eine ||| a ``
eine pareto-verbesserungs bewerbung ||| a `` pareto-improving
pareto-verbesserungs bewerbung ||| `` pareto-improving
pareto-verbesserungs bewerbung ||| `` pareto-improving move
pareto-verbesserungs bewerbung ||| pareto-improving
pareto-verbesserungs bewerbung ||| pareto-improving move
pareto-verbesserungs bewerbung . ||| pareto-improving move .
. ||| move .
. ||| move . ''
. ||| .
. ||| . ''
sorgen ||| redistribution will make
sorgen ||| will make
sorgen ||| will make everyone
sorgen ||| make
sorgen ||| make everyone
besser ||| everyone better
besser ||| everyone better off
besser ||| better
besser ||| better off
nicht ||| not
nicht nur ||| not just
nicht nur ||| not just poor
nur ||| just
nur ||| just poor
nur ||| just poor people
weil ||| people -- because
weil ||| -- because
weil ||| because
diese ||| this
diese ||| this excess
auswahl ||| excess choice
auswahl ||| excess choice plagues
auswahl ||| choice
auswahl ||| choice plagues
auswahl uns ||| choice plagues us
uns ||| plagues us
uns ||| us
abschließend ||| so to
abschließend ||| to
sie ||| . you
sie ||| . you 're
sie ||| you
sie ||| you 're
sie ||| you 're supposed
lesen ||| supposed to read
lesen ||| to read
lesen ||| read
dieser ||| this
cartoon ||| cartoon
und ||| and
und ||| and ,
und ||| and , being
eine ||| , being a
eine ||| being a
eine ||| being a sophisticated
eine ||| a
eine ||| a sophisticated
person ||| sophisticated person
person ||| sophisticated person ,
person ||| person
person ||| person ,
person ||| person , say
! ||| ah !
! was ||| ah ! what
! ||| !
! was ||| ! what
was ||| what
bitte ||| does
bitte ||| does this
fisch ||| this fish
fisch ||| fish
weiß ||| know
? ||| ?
sie ||| you
sie wissen ||| you know
sie wissen ||| you know ,
wissen ||| know
wissen ||| know ,
nichts ||| , nothing
nichts ||| , nothing is
nichts ||| nothing
nichts ||| nothing is
nichts möglich ||| nothing is possible
möglich ||| is possible
möglich in ||| is possible in
möglich ||| possible
möglich in ||| possible in
möglich in diesem ||| possible in this
in ||| in
in diesem ||| in this
in diesem goldfischglas ||| in this fishbowl
diesem ||| this
diesem goldfischglas ||| this fishbowl
goldfischglas ||| fishbowl
'' ||| ''
eine ||| a
eine ||| a myopic
eine ||| a myopic view
welt ||| world
welt -- ||| world --
welt -- und ||| world -- and
-- ||| --
-- und ||| -- and
und ||| and
ist ||| 's
ist ||| 's the
ist ||| 's the way
gelesen ||| read
es ||| it
es ||| it at
es zuerst ||| it at first
zuerst ||| at first
zuerst ||| first
. ||| .
darüber ||| thought about
darüber ||| thought about it
darüber ||| about
darüber ||| about it
nachdachte ||| however
nachdachte ||| however ,
nachdachte ||| however , the
kam ||| more i came
kam ||| i came
kam ||| came
zu ||| to
zu ||| to the
ansicht ||| the view
ansicht ||| the view that
ansicht ||| view
ansicht ||| view that
ansicht ||| view that this
fisch ||| that this fish
fisch ||| this fish
fisch ||| fish
fisch etwas weiß ||| fish knows something
weiß ||| knows
etwas weiß ||| knows something
etwas weiß . ||| knows something .
etwas ||| something
. ||| .
denn ||| because
wahrheit ||| truth
wahrheit ||| truth of
wahrheit ||| truth of the
wenn ||| if
zerbrechen ||| shatter
zerbrechen ||| shatter the
goldfischglas zerbrechen ||| shatter the fishbowl
goldfischglas ||| the fishbowl
goldfischglas ||| fishbowl
so ||| so
so ||| so that
alles ||| that everything
alles ||| that everything is
alles ||| everything
alles ||| everything is
alles möglich ||| everything is possible
möglich ||| is possible
möglich ||| possible
keine ||| you do n't
keine ||| do n't
keine ||| n't
freiheit ||| freedom
lähmung ||| you have paralysis
lähmung ||| have paralysis
lähmung ||| have paralysis .
lähmung ||| paralysis
lähmung ||| paralysis .
wenn ||| if
zerbrechen ||| shatter
zerbrechen ||| shatter this
goldfischglas zerbrechen ||| shatter this fishbowl
goldfischglas ||| this fishbowl
goldfischglas ||| fishbowl
so ||| so
alles ||| everything
alles möglich ist ||| everything is possible
ist ||| is
möglich ist ||| is possible
möglich ||| possible
senken ||| you decrease
senken ||| decrease
zufriedenheit ||| satisfaction
die zufriedenheit . ||| satisfaction .
sie ||| you
sie steigern ||| you increase
steigern ||| increase
lähmung ||| paralysis
lähmung ||| paralysis ,
lähmung und ||| paralysis , and
und ||| , and
und ||| , and you
und ||| and
und ||| and you
und senken ||| and you decrease
senken ||| you decrease
senken ||| decrease
zufriedenheit ||| satisfaction
braucht ||| everybody needs
braucht ein ||| everybody needs a
braucht ||| needs
braucht ein ||| needs a
braucht ein goldfischglas ||| needs a fishbowl
ein ||| a
ein goldfischglas ||| a fishbowl
goldfischglas ||| fishbowl
dies ||| this
dies ||| this one
dies ist ||| this one is
ist ||| one is
ist fast ||| one is almost
ist ||| is
ist fast ||| is almost
fast ||| almost
-- ||| too limited --
-- ||| limited --
-- möglicherweise ||| limited -- perhaps
-- ||| --
-- möglicherweise ||| -- perhaps
-- möglicherweise auch ||| -- perhaps even
möglicherweise ||| perhaps
möglicherweise auch ||| perhaps even
auch ||| even
den ||| the
den fisch ||| the fish
fisch ||| fish
uns ||| certainly for us
uns ||| for us
uns . ||| for us .
uns ||| us
uns . ||| us .
. ||| .
aber ||| but
aber das ||| but the
das ||| the
von ||| of
von ||| of some
von ||| of some metaphorical
goldfischglas ||| some metaphorical fishbowl
goldfischglas ||| metaphorical fishbowl
goldfischglas ist ||| metaphorical fishbowl is
goldfischglas ||| fishbowl
goldfischglas ist ||| fishbowl is
ist ||| is
für ||| recipe for
für ||| recipe for misery
für ||| for
für ||| for misery
und ||| and
und ||| and ,
ich ||| , i
ich vermute ||| , i suspect
ich ||| i
ich vermute ||| i suspect
ich vermute ||| i suspect ,
vermute ||| suspect
vermute ||| suspect ,
vermute ||| suspect , disaster
. ||| , disaster .
. ||| disaster .
. ||| .
danke ||| thank
danke ihnen ||| thank you
danke ihnen vielmals ||| thank you very
ihnen ||| you
ihnen vielmals ||| you very
ihnen vielmals ||| you very much
vielmals ||| very
vielmals ||| very much
vielmals . ||| very much .
. ||| much .
. ||| .
sie ||| you
sie wissen ||| you know
wissen ||| know
ich habe ||| i
bereits ||| 've
bereits ||| 've talked
einige ||| some
gesprochen ||| these
projekte ||| projects
zuvor ||| before
entdeckung ||| --
entdeckung ||| -- about
menschliche ||| human
menschliche genom ||| human genome
genom ||| genome
was ||| what
was ||| what that
was ||| what that might
neuer ||| new
neuer ||| new sets
neuer ||| new sets of
genen ||| sets of genes
genen ||| of genes
genen . ||| of genes .
genen ||| genes
genen . ||| genes .
. ||| .
gelangen ||| 're
tatsächlich ||| actually
tatsächlich ||| actually starting
tatsächlich ||| actually starting at
punkt ||| point
punkt ||| point :
punkt ||| point : we
digitalisiert ||| 've been digitizing
digitalisiert ||| been digitizing
digitalisiert ||| digitizing
jetzt ||| now
jetzt ||| now we
jetzt ||| now we 're
vom ||| go from
vom ||| go from that
vom ||| from
vom ||| from that
vom digitalen ||| from that digital
digitalen ||| that digital
digitalen code ||| that digital code
digitalen ||| digital
digitalen code ||| digital code
digitalen code ||| digital code into
code ||| code
code ||| code into
code ||| code into a
phase ||| a new phase
phase ||| new phase
phase ||| phase
gestalten ||| biology with
gestalten ||| biology with designing
gestalten ||| with
gestalten ||| with designing
gestalten ||| with designing and
aufbauen ||| designing and synthesizing
aufbauen ||| and synthesizing
aufbauen ||| synthesizing
leben ||| life
bedeutende ||| so
bedeutende ||| so ,
wir ||| , we
wir ||| , we 've
wir ||| we
wir ||| we 've
immer ||| 've always
immer ||| 've always been
immer ||| always
immer ||| always been
immer versucht ||| always been trying
versucht ||| been trying
versucht ||| trying
zu ||| to
zu stellen ||| to ask
zu stellen ||| to ask big
stellen ||| ask
stellen ||| ask big
fragen ||| big questions
fragen ||| questions
leben ||| life
leben ? ||| life ?
leben ? ||| life ? ''
? ||| ?
? ||| ? ''
? ||| ? '' is
etwas ||| '' is something
etwas ||| is something
etwas ||| something
ich ||| i
ich ||| i think
viele ||| think many
viele ||| think many biologists
viele ||| many
viele ||| many biologists
haben ||| biologists have
haben ||| biologists have been
haben ||| have
haben ||| have been
versucht haben ||| have been trying
versucht ||| been trying
versucht ||| trying
verstehen ||| understand
glaube ||| at
glaube ||| at various
wir ||| we
wir ||| we 've
versucht ||| 've tried
versucht ||| 've tried various
versucht ||| tried
versucht ||| tried various
versucht ||| tried various approaches
es ||| it
es ||| it down
komponenten ||| minimal components
komponenten ||| components
digitalisiert ||| 've been digitizing
digitalisiert ||| been digitizing
digitalisiert ||| digitizing
nahezu ||| it
nahezu ||| it now
zur ||| now for
zur ||| now for almost
zur ||| for
zur ||| for almost
20 ||| almost 20
20 jahre ||| almost 20 years
20 ||| 20
20 jahre ||| 20 years
20 jahre ||| 20 years ;
jahre ||| years
jahre ||| years ;
jahre ||| years ; when
sequenziert ||| when we sequenced
sequenziert ||| we sequenced
sequenziert ||| sequenced
von ||| of
biologie ||| biology
biologie ||| biology into
biologie ||| biology into the
digitalen ||| into the digital
digitalen ||| the digital
digitalen ||| the digital world
digitalen ||| digital
digitalen ||| digital world
digitalen ||| digital world of
computer ||| of the computer
computer ||| the computer
computer ||| computer
nun ||| now
fragen ||| ask
neues ||| we create new
neues ||| create new
neues ||| create new life
neues ||| new
neues ||| new life
neues ||| new life out
aus ||| life out of
aus ||| out of
aus diesem ||| out of this
aus ||| of
aus diesem ||| of this
aus diesem digitalen ||| of this digital
diesem ||| this
diesem digitalen ||| this digital
diesem digitalen ||| this digital universe
digitalen ||| digital
digitalen ||| digital universe
? ||| universe ?
? ||| universe ? ''
? ||| ?
? ||| ? ''
ist ||| this is
ist ||| is
karte ||| map
karte ||| map of
kleinen ||| for
kleinen ||| for a
spezies ||| a species
spezies ||| a species that
spezies ||| species
spezies ||| species that
labor ||| the laboratory
labor ||| the laboratory ,
labor ||| laboratory
labor ||| laboratory ,
und ||| , and
und ||| and
ob ||| just see if
ob ||| see if
ob ||| see if we
ob ||| if
ob ||| if we
ob ||| if we can
mit ||| come up with
mit ||| up with
mit ||| with
organismus ||| an
organismus ||| an even
organismus ||| an even smaller
wir ||| we
wir ||| we 're
wir ||| we 're able
zu ||| 're able to
zu ||| able to
zu ||| able to knock
